iter	Passed	Remaining
534	15796	43255
535	15840	43264
536	15878	43259
537	15919	43262
538	15962	43266
539	16001	43264
540	16042	43263
541	16089	43280
542	16126	43270
543	16157	43245
544	16180	43197
545	16207	43160
546	16251	43168
547	16300	43191
548	16342	43192
549	16383	43194
550	16423	43189
551	16446	43142
552	16469	43094
553	16492	43046
554	16516	43002
555	16540	42958
556	16563	42909
557	16586	42863
558	16608	42813
559	16631	42765
560	16654	42719
561	16677	42673
562	16700	42625
563	16722	42577
564	16750	42543
565	16775	42502
566	16799	42458
567	16822	42410
568	16844	42362
569	16867	42317
570	16889	42269
571	16913	42223
572	16935	42175
573	16958	42130
574	16981	42084
575	17003	42036
576	17045	42038
577	17068	41991
578	17091	41946
579	17113	41899
580	17145	41876
581	17169	41831
582	17190	41783
583	17215	41740
584	17238	41695
585	17261	41650
586	17285	41607
587	17307	41561
588	17329	41514
589	17352	41469
590	17375	41424
591	17397	41378
592	17438	41375
593	17477	41368
594	17526	41385
595	17567	41383
596	17608	41381
597	17650	41380
598	17692	41380
599	17739	41392
600	17786	41403
601	17829	41404
602	17854	41364
603	17877	41318
604	17900	41274
605	17945	41279
606	17974	41250
607	18012	41238
608	18052	41234
609	18093	41230
610	18119	41191
611	18143	41148
612	18165	41102
613	18187	41055
614	18211	41012
615	18234	40967
616	18256	40922
617	18280	40880
618	18304	40838
619	18326	40791
620	18348	40745
621	18370	40699
622	18393	40654
623	18416	40610
624	18439	40566
625	18462	40523
626	18484	40477
627	18509	40437
628	18531	40392
629	18553	40346
630	18576	40302
631	18598	40258
632	18628	40229
633	18652	40187
634	18674	40142
635	18696	40097
636	18719	40053
637	18760	40050
638	18802	40047
639	18845	40046
640	18868	40002
641	18891	39960
642	18914	39918
643	18937	39874
644	18959	39829
645	18982	39786
646	19005	39745
647	19029	39704
648	19054	39664
649	19096	39662
650	19138	39658
651	19177	39648
652	19217	39642
653	19258	39636
654	19297	39626
655	19338	39621
656	19378	39612
657	19421	39611
658	19467	39614
659	19593	39780
660	19636	39778
661	19672	39760
662	19716	39759
663	19759	39757
664	19801	39752
665	19828	39716
666	19869	39708
667	19897	39676
668	19920	39633
669	19942	39588
670	19965	39544
671	19987	39499
672	20010	39456
673	20033	39413
674	20056	39369
675	20078	39325
676	20101	39282
677	20139	39268
678	20163	39227
679	20187	39187
680	20209	39143
681	20233	39102
682	20257	39060
683	20281	39020
684	20305	38980
685	20327	38937
686	20349	38892
687	20372	38849
688	20394	38805
689	20417	38762
690	20439	38720
691	20462	38678
692	20484	38634
693	20509	38596
694	20533	38555
695	20556	38514
696	20603	38516
697	20626	38474
698	20649	38432
699	20671	38389
700	20693	38346
701	20717	38306
702	20741	38267
703	20763	38223
704	20791	38190
705	20832	38182
706	20873	38174
707	20912	38162
708	20951	38150
709	20991	38139
710	21032	38130
711	21073	38121
712	21096	38080
713	21119	38038
714	21157	38023
715	21194	38007
716	21231	37991
717	21272	37982
718	21314	37975
719	21356	37967
720	21401	37964
721	21441	37953
722	21484	37946
723	21527	37941
724	21552	37902
725	21580	37869
726	21602	37826
727	21632	37797
728	21654	37754
729	21677	37713
730	21700	37671
731	21738	37656
732	21762	37616
733	21785	37575
734	21806	37531
735	21848	37522
736	21871	37482
737	21894	37440
738	21919	37402
739	21941	37359
740	21963	37316
741	21986	37275
742	22008	37234
743	22030	37191
744	22053	37150
745	22096	37143
746	22120	37104
747	22143	37063
748	22165	37021
749	22189	36982
750	22212	36941
751	22235	36900
752	22258	36860
753	22281	36820
754	22303	36778
755	22325	36736
756	22348	36697
757	22370	36654
758	22394	36615
759	22416	36573
760	22438	36532
761	22461	36492
762	22485	36454
763	22526	36442
764	22568	36434
765	22608	36421
766	22646	36406
767	22686	36392
768	22723	36374
769	22762	36361
770	22797	36339
771	22833	36321
772	22876	36312
773	22917	36301
774	22955	36285
775	22979	36245
776	23001	36203
777	23042	36193
778	23089	36190
779	23132	36181
780	23170	36164
781	23208	36148
782	23230	36107
783	23253	36066
784	23276	36026
785	23298	35985
786	23320	35944
787	23343	35904
788	23366	35863
789	23389	35824
790	23411	35783
791	23434	35742
792	23456	35701
793	23479	35663
794	23502	35623
795	23525	35583
796	23548	35544
797	23592	35537
798	23615	35497
799	23639	35458
800	23661	35418
801	23684	35379
802	23709	35342
803	23733	35304
804	23755	35264
805	23778	35225
806	23802	35187
807	23825	35148
808	23852	35114
809	23874	35074
810	23896	35034
811	23918	34994
812	23942	34956
813	23964	34916
814	23986	34875
815	24010	34838
816	24033	34799
817	24055	34760
818	24078	34721
819	24114	34700
820	24136	34661
821	24160	34623
822	24184	34587
823	24230	34581
824	24271	34568
825	24312	34555
826	24355	34544
827	24396	34531
828	24437	34519
829	24478	34505
830	24522	34497
831	24562	34482
832	24605	34471
833	24649	34462
834	24690	34448
835	24733	34437
836	24776	34426
837	24817	34413
838	24863	34405
839	24905	34392
840	24930	34356
841	24953	34317
842	24975	34278
843	24998	34239
844	25020	34199
845	25042	34159
846	25065	34121
847	25088	34082
